Recency,Frequency,Monetary
3408,11,151.7
3442,8,100.56
3748,5,76.0
3569,16,130.6
3423,8,35.9
3378,17,146.2
3444,18,174.51
3661,4,40.42
3479,10,59.21
3426,10,115.8
3506,10,63.54
3410,13,93.1
3714,4,70.72
3529,9,55.5
3397,7,66.45
3806,2,13.4
3685,6,81.5
3747,6,86.8
3749,19,216.19
3655,10,124.75
3403,9,52.8
3809,5,61.1
3412,11,84.49
3378,14,65.9
3484,8,85.5
3574,7,49.7
3823,5,40.9
3723,4,27.7
3571,6,93.3
3431,6,60.14
3517,18,153.31
3558,8,114.36
3620,8,60.4
3710,5,16.0
3408,6,45.55
3472,5,37.6
3412,12,130.9
3523,13,136.2
3686,9,74.16
3452,7,36.8
3739,9,51.8
3634,7,57.5
3833,6,45.1
3665,9,120.85
3608,7,67.95
3519,13,92.7
4098,2,80.1
3540,14,95.7
3601,15,183.5
3656,2,37.2
3956,2,20.9
3526,4,108.6
3646,2,15.4
3466,7,103.0
3971,2,1.9
3536,19,135.55
3611,6,66.9
3990,5,35.0
3446,8,83.0
3394,19,234.79
3419,21,145.76
3641,17,192.08
4039,4,48.9
3967,8,46.4
3663,5,41.0
3598,8,34.5
3478,20,182.1
3721,6,36.9
3526,23,205.7
3738,10,38.62
3667,2,32.1
3568,8,57.2
3941,2,11.5
3403,16,53.35
3517,6,83.7
3524,6,95.06
3415,20,157.65
3551,16,141.95
3735,8,38.3
3985,6,25.9
3560,13,101.62
3456,8,109.54
3868,4,46.0
3515,6,43.7
3663,10,103.2
3775,2,4.4
3522,7,32.6
3719,6,23.3
3464,21,171.5
3547,10,35.45
3706,8,58.2
3681,7,29.2
3456,13,71.64
3399,6,85.5
3501,14,148.0
3469,15,106.75
3427,8,48.0
3555,11,47.1
3427,8,128.0
3822,6,35.76
3425,18,170.12
3391,15,203.1
3596,6,25.7
3648,10,93.85
3432,16,102.3
3505,15,164.7
3448,4,85.42
3405,12,69.5
3400,13,132.0
3653,9,35.1
3528,16,192.72
3440,11,132.61
3510,11,160.1
3691,14,150.72
3672,10,72.96
3436,12,135.7
3386,9,151.0
3411,18,205.26
3693,2,4.1
3641,9,37.0
3419,15,118.4
3583,6,60.9
3600,4,16.5
3516,5,48.6
3393,14,117.04
3521,6,32.62
3405,19,107.3
3413,6,41.86
3403,12,119.6
3671,8,81.5
3459,7,114.8
4040,4,27.4
3568,12,94.7
3836,2,5.9
3624,4,12.0
3913,5,62.62
3829,4,31.7
3502,17,151.66
3388,7,82.88
3621,10,89.0
3409,18,178.7
3929,6,39.8
3391,16,220.35
3666,12,105.5
3401,18,201.0
3429,23,247.84
3418,9,109.1
3439,12,107.14
3975,6,38.9
3496,12,113.3
3408,15,145.5
3535,7,76.25
3430,17,115.16
3579,5,30.0
